pair,ligand,receptor,source,target,score,p_value,direction
TGFB1_TGFBR2,TGFB1,TGFBR2,Immune,Epithelial/Malignant,1.4969,0.008,Immune>Tumor
TGFB1_TGFBR2,TGFB1,TGFBR2,Immune,Other,2.3807,0.002,Immune>Tumor
SPP1_CD44,SPP1,CD44,Immune,Epithelial/Malignant,2.476,0.002,Immune>Tumor
SPP1_CD44,SPP1,CD44,Other,Immune,1.9389,0.0459,Immune>Tumor
CSF1_CSF1R,CSF1,CSF1R,Epithelial/Malignant,Immune,0.5436,0.002,Tumor>Immune
CSF1_CSF1R,CSF1,CSF1R,Other,Immune,0.7123,0.002,Immune>Tumor
CXCL8_CXCR2,CXCL8,CXCR2,Epithelial/Malignant,Immune,0.1389,0.002,Tumor>Immune
CCL2_CCR2,CCL2,CCR2,Epithelial/Malignant,Immune,0.2486,0.002,Tumor>Immune
CCL2_CCR2,CCL2,CCR2,Other,Immune,0.3707,0.002,Immune>Tumor
CXCL10_CXCR3,CXCL10,CXCR3,Epithelial/Malignant,Immune,0.5217,0.002,Tumor>Immune
VEGFA_FLT1,VEGFA,FLT1,Epithelial/Malignant,Other,1.8397,0.002,Tumor>Immune
IL6_IL6R,IL6,IL6R,Other,Epithelial/Malignant,0.5607,0.002,Immune>Tumor
IL6_IL6R,IL6,IL6R,Other,Immune,0.5118,0.002,Immune>Tumor
TGFB1_TGFBR1,TGFB1,TGFBR1,Immune,Epithelial/Malignant,1.3445,0.002,Immune>Tumor
TGFB1_TGFBR1,TGFB1,TGFBR1,Immune,Other,1.0589,0.002,Immune>Tumor
IL10_IL10RB,IL10,IL10RB,Immune,Epithelial/Malignant,0.2541,0.002,Immune>Tumor
CCL5_CCR2,CCL5,CCR2,Other,Immune,0.4498,0.002,Immune>Tumor
CD274_PDCD1,CD274,PDCD1,Immune,Other,0.1961,0.0479,Immune>Tumor
CD274_PDCD1,CD274,PDCD1,Other,Immune,0.1944,0.0599,Immune>Tumor
SPP1_ITGAM,SPP1,ITGAM,Other,Immune,0.8992,0.002,Immune>Tumor
CCL5_CCR5,CCL5,CCR5,Other,Immune,0.6725,0.002,Immune>Tumor
CXCL9_CXCR3,CXCL9,CXCR3,Epithelial/Malignant,Immune,0.4181,0.002,Tumor>Immune
CXCL9_CXCR3,CXCL9,CXCR3,Other,Immune,0.3749,0.0838,Immune>Tumor
ANXA1_FPR1,ANXA1,FPR1,Epithelial/Malignant,Immune,1.0414,0.002,Tumor>Immune
ANXA1_FPR1,ANXA1,FPR1,Other,Immune,1.3926,0.002,Immune>Tumor
IL1B_IL1R1,IL1B,IL1R1,Epithelial/Malignant,Other,0.6911,0.002,Tumor>Immune
IL1B_IL1R1,IL1B,IL1R1,Immune,Other,0.4699,0.006,Immune>Tumor
CCL20_CCR6,CCL20,CCR6,Epithelial/Malignant,Immune,1.132,0.002,Tumor>Immune
CCL20_CCR6,CCL20,CCR6,Epithelial/Malignant,Other,0.5723,0.002,Tumor>Immune
CCL4_CCR5,CCL4,CCR5,Epithelial/Malignant,Immune,0.4529,0.002,Tumor>Immune
CCL4_CCR5,CCL4,CCR5,Other,Immune,0.5033,0.002,Immune>Tumor
CD47_SIRPA,CD47,SIRPA,Epithelial/Malignant,Immune,1.5464,0.002,Tumor>Immune
CD47_SIRPA,CD47,SIRPA,Epithelial/Malignant,Other,1.4576,0.002,Tumor>Immune
CD47_SIRPA,CD47,SIRPA,Immune,Other,1.272,0.002,Immune>Tumor
LGALS9_HAVCR2,LGALS9,HAVCR2,Epithelial/Malignant,Immune,1.9159,0.002,Tumor>Immune
