pair,n,mean_score,max_score,min_p
SPP1_CD44,2,2.20745,2.476,0.002
TGFB1_TGFBR2,2,1.9388001,2.3807,0.002
LGALS9_HAVCR2,1,1.9159,1.9159,0.002
VEGFA_FLT1,1,1.8397,1.8397,0.002
CD47_SIRPA,3,1.4253334,1.5464,0.002
ANXA1_FPR1,2,1.217,1.3926,0.002
TGFB1_TGFBR1,2,1.2017,1.3445,0.002
SPP1_ITGAM,1,0.8992,0.8992,0.002
CCL20_CCR6,2,0.85214996,1.132,0.002
CCL5_CCR5,1,0.6725,0.6725,0.002
CSF1_CSF1R,2,0.62795,0.7123,0.002
IL1B_IL1R1,2,0.5805,0.6911,0.002
IL6_IL6R,2,0.53625,0.5607,0.002
CXCL10_CXCR3,1,0.5217,0.5217,0.002
CCL4_CCR5,2,0.4781,0.5033,0.002
CCL5_CCR2,1,0.4498,0.4498,0.002
CXCL9_CXCR3,2,0.3965,0.4181,0.002
CCL2_CCR2,2,0.30965,0.3707,0.002
IL10_IL10RB,1,0.2541,0.2541,0.002
CD274_PDCD1,2,0.19525,0.1961,0.0479
CXCL8_CXCR2,1,0.1389,0.1389,0.002
