pair,B cell,CD4 T cell,CD8 T cell,ILC,Myeloid cell
ANXA1_FPR1,0.0,0.7637,0.8512,0.7579,0.0
CCL20_CCR6,0.0801,0.1124,0.1063,0.0,0.12965
CCL2_CCR2,0.0241,0.0,0.0,0.0,0.0
CCL4_CCR5,0.0,0.166,0.2629,0.28185,0.0
CCL5_CCR2,0.0,0.2651,0.4501,0.4129,0.0
CCL5_CCR5,0.0,0.254,0.3295,0.34895,0.0
CD274_PDCD1,0.0267,0.0253,0.0,0.0,0.0
CD47_SIRPA,0.2469,0.2409,0.2549,0.2559,0.0
CD86_CTLA4,0.0981,0.0,0.0,0.0,0.15385
CSF1_CSF1R,0.0486,0.0979,0.0786,0.0,0.0
CXCL10_CXCR3,0.0,0.0,0.0,0.0,0.055675
CXCL8_CXCR1,0.0195,0.0138,0.0,0.0,0.03025
CXCL8_CXCR2,0.0487,0.0345,0.0,0.0,0.0983
CXCL9_CXCR3,0.0,0.0,0.0,0.0,0.037333333333333336
IL10_IL10RA,0.0,0.0,0.0,0.0,0.07963333333333333
IL10_IL10RB,0.0754,0.0712,0.0599,0.0,0.0583
IL1B_IL1R1,0.0,0.0,0.0,0.0,0.07145
IL6_IL6R,0.048350000000000004,0.0,0.0,0.0,0.0401
LGALS9_HAVCR2,0.0,0.0,0.0,0.1035,0.15713333333333335
SPP1_CD44,0.1534,0.0,0.0,0.0,0.2087
SPP1_ITGAM,0.0785,0.0,0.0,0.0,0.0897
TGFB1_TGFBR1,0.0,0.0,0.1023,0.0884,0.11785000000000001
TGFB1_TGFBR2,0.1219,0.1242,0.14145000000000002,0.14305,0.13286666666666666
VEGFA_FLT1,0.0136,0.0,0.0,0.0,0.0199
