pair,n,mean_score,max_score,min_p
ANXA1_FPR1,3,0.7909333333333333,0.8512,0.002
CCL5_CCR2,3,0.3760333333333333,0.4501,0.002
CCL5_CCR5,4,0.32035,0.3957,0.002
CD47_SIRPA,4,0.24965,0.2559,0.002
CCL4_CCR5,4,0.24815,0.3196,0.002
SPP1_CD44,5,0.19763999999999998,0.2372,0.002
LGALS9_HAVCR2,4,0.143725,0.2003,0.002
CD86_CTLA4,3,0.13526666666666667,0.2186,0.002
TGFB1_TGFBR2,9,0.13485555555555556,0.1615,0.002
CCL20_CCR6,5,0.11162000000000001,0.1536,0.002
TGFB1_TGFBR1,5,0.10296000000000001,0.1254,0.002
SPP1_ITGAM,2,0.08410000000000001,0.0897,0.002
IL10_IL10RA,3,0.07963333333333333,0.0828,0.008
CSF1_CSF1R,3,0.07503333333333334,0.0979,0.002
IL1B_IL1R1,2,0.07145,0.0718,0.002
IL10_IL10RB,4,0.0662,0.0754,0.002
CXCL8_CXCR2,3,0.0605,0.0983,0.002
CXCL10_CXCR3,4,0.055675,0.0713,0.002
IL6_IL6R,3,0.0456,0.0541,0.002
CXCL9_CXCR3,3,0.037333333333333336,0.0423,0.002
CD274_PDCD1,3,0.02623333333333333,0.0324,0.002
CCL2_CCR2,1,0.0241,0.0241,0.01
CXCL8_CXCR1,4,0.02345,0.0394,0.002
VEGFA_FLT1,2,0.01675,0.0199,0.002
