title,author,journal,year
The ectonucleotidases CD39 and CD73: Novel checkpoint inhibitor targets,"Allard B, Longhi MS, Robson SC, Stagg J",Immunological Reviews,2017
Pembrolizumab in Microsatellite-Instability-High Advanced Colorectal Cancer,"André T, Shiu KK, Kim TW, et al",New England Journal of Medicine,2020
Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage,"Aran D, Looney AP, Liu L, et al",Nature Immunology,2019
Immune and Stromal Classification of Colorectal Cancer Is Associated with Molecular Subtypes and Relevant for Precision Immunotherapy,"Becht E, de Reyniès A, Giraldo NA, et al",Clinical Cancer Research,2016
Adenosine Metabolism: Emerging Concepts for Cancer Therapy,"Boison D, Yegutkin GG",Cancer Cell,2019
Dependency of colorectal cancer on a TGF-beta-driven program in stromal cells for metastasis initiation,"Calon A, Espinet E, Palomo-Ponce S, et al",Cancer Cell,2012
Stromal gene expression defines poor-prognosis subtypes in colorectal cancer,"Calon A, Lonardo E, Berenguer-Llergo A, et al",Nature Genetics,2015
Macrophages in Colorectal Cancer Liver Metastases,"Cortese N, Soldani C, Franceschini B, et al",Cancers,2019
A robust gene signature for the prediction of early relapse in stage I-III colon cancer,"Dai W, Li Y, Mo S, et al",Molecular Oncology,2018
Myeloid-derived suppressor cells as regulators of the immune system,"Gabrilovich DI, Nagaraj S",Nature Reviews Immunology,2009
"Immunotherapy in colorectal cancer: rationale, challenges and potential","Ganesh K, Stadler ZK, Cercek A, et al",Nature Reviews Gastroenterology & Hepatology,2019
The consensus molecular subtypes of colorectal cancer,"Guinney J, Dienstmann R, Wang X, et al",Nature Medicine,2015
Integrated analysis of multimodal single-cell data,"Hao Y, Hao S, Andersen-Nissen E, et al",Cell,2021
Targeting CD73 in the tumor microenvironment with MEDI9447,"Hay CM, Sult E, Huang Q, et al",Oncoimmunology,2016
Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response,"Jiang P, Gu S, Pan D, et al",Nature Medicine,2018
Performance evaluation for rapid detection of pan-cancer microsatellite instability with MANTIS,"Kautto EA, Bonneville R, Miya J, et al",Oncotarget,2017
"Fast, sensitive and accurate integration of single-cell data with Harmony","Korsunsky I, Millard N, Fan J, et al",Nature Methods,2019
WGCNA: an R package for weighted correlation network analysis,"Langfelder P, Horvath S",BMC Bioinformatics,2008
PD-1 Blockade in Tumors with Mismatch-Repair Deficiency,"Le DT, Uram JN, Wang H, et al",New England Journal of Medicine,2015
Targeting adenosine for cancer immunotherapy,"Leone RD, Emens LA",Journal for ImmunoTherapy of Cancer,2018
The vigorous immune microenvironment of microsatellite instable colon cancer is balanced by multiple counter-inhibitory checkpoints,"Llosa NJ, Cruise M, Tam A, et al",Cancer Discovery,2015
Tumour-associated macrophages as treatment targets in oncology,"Mantovani A, Marchesi F, Malesci A, Laghi L, Allavena P",Nature Reviews Clinical Oncology,2017
Integrative Analyses of Colorectal Cancer Show Immunoscore Is a Stronger Predictor of Patient Survival Than Microsatellite Instability,"Mlecnik B, Bindea G, Angell HK, et al",Immunity,2016
Tumor-associated macrophages: from mechanisms to therapy,"Noy R, Pollard JW",Immunity,2014
A2A adenosine receptor protects tumors from antitumor T cells,"Ohta A, Gorelik E, Prasad SJ, et al",Proceedings of the National Academy of Sciences USA,2006
"Nivolumab in patients with metastatic DNA mismatch repair-deficient or microsatellite instability-high colorectal cancer (CheckMate 142): an open-label, multicentre, phase 2 study","Overman MJ, McDermott R, Leach JL, et al",Lancet Oncology,2017
International validation of the consensus Immunoscore for the classification of colon cancer: a prognostic and accuracy study,"Pagès F, Mlecnik B, Marliot F, et al",Lancet,2018
Spatially organized multicellular immune hubs in human colorectal cancer,"Pelka K, Hofree M, Chen JH, et al",Cell,2021
Blocking Antibodies Targeting the CD39/CD73 Immunosuppressive Pathway Unleash Immune Responses in Combination Cancer Therapies,"Perrot I, Michaud HA, Giraudon-Paoli M, et al",Cell Reports,2019
