cohort,run,n,genes,HR,p,logHR,se,HR_low,HR_high,weight_fe,weight_re
GSE17536,Run1,177,10.0,1.12,0.334,0.1137,0.1183,0.889,1.415,13.0,15.5
GSE14333,Run1,290,10.0,0.91,0.247,-0.0943,0.0816,0.769,1.070,28.6,19.8
GSE38832,Run1,122,10.0,1.78,0.010,0.5766,0.2241,1.149,2.745,3.8,9.5
GSE17536,Run2,177,14.0,1.08,0.493,0.0770,0.1122,0.867,1.346,16.7,17.8
GSE14333,Run2,290,14.0,0.90,0.255,-0.1053,0.0925,0.758,1.076,24.1,19.2
GSE38832,Run2,122,14.0,1.95,0.001,0.6701,0.1963,1.328,2.876,5.4,11.7
GSE33113,Run1,96,10.0,0.86,0.185,-0.1508,0.1135,0.688,1.075,15.5,17.0
GSE33113,Run2,96,14.0,0.85,0.160,-0.1655,0.1175,0.673,1.067,14.5,16.5
GSE39582,Run1,585,10.0,1.10,0.124,0.0953,0.0623,0.974,1.247,54.2,27.5
GSE39582,Run2,585,14.0,1.18,0.011,0.1655,0.0646,1.038,1.331,50.5,27.0
CPTAC COAD,RNA-seq,105,10.0,1.16,0.780,0.1480,0.5290,0.410,3.280,2.0,4.0
RE Summary,Meta,1178,,1.053,,0.0519,0.0283,0.993,1.117,,100.0
