,CD4 T cell,ILC,CD8 T cell,B cell,Myeloid cell
SNAI1,0.007157328864496823,0.0002160388250663788,0.00584144800010443,0.01059163652707436,0.036716473827104544
CXCL8,0.024289723172383194,0.021144693007878333,0.014554420123386197,0.05924472553934679,0.2697545454814925
SPP1,0.008872063961696808,0.001289753432068996,0.00835514638728154,0.02154845829380616,0.1215874606854947
CXCL10,0.0015847237650459384,0.0,0.0010213406447513408,0.007428705950760941,0.03012791069182084
SLC29A1,0.006537315981104888,0.000956096700052188,0.006116322698500377,0.017393196925312306,0.03234694464738328
ENTPD1,0.04154698856977378,0.014843681770349199,0.10910933613947095,0.1525706581675947,0.2183734715364322
NT5E,0.008248482567910905,0.0036058088465292285,0.005719847179378741,0.04059325034047161,0.002470031419091932
ADORA2A,0.005934750520535053,0.0004596003664121491,0.005554525445247748,0.004600448967760089,0.001057831389742054
ADORA2B,0.0,0.0,0.0003165828023411651,0.00012794398428521197,0.009313790819050647
CXCR1,0.0003216790797729282,0.012742000745318895,0.0035387924589012697,0.0,0.0012649461442117399
CXCR2,0.0003781892397279529,0.04519058728770384,0.003288370323159557,0.0007211689394024865,0.007921723194559674
CXCR3,0.13080752821244337,0.04748345628971065,0.18168386755976365,0.07373034085564922,0.007730954137960213
CD44,0.5940140710598752,0.249093458033346,0.40039686452347,0.4821891819450834,0.8923164820380394
CCL2,0.0013653135696301587,0.00016525123477177808,0.00044721818493068425,0.00583462530846706,0.0456905428310947
CCL5,0.6753382844902774,1.6305263160799413,1.8974743004533214,0.2823512427559435,0.16675321133876664
CSF1,0.029858687498529362,0.003119635017848139,0.025257637252904138,0.002513426116782877,0.015072690973359039
TGFB1,0.12965534051577343,0.19483063043421445,0.18672296604236238,0.12642304969146395,0.2413414591133765
IL10,0.017318507046279474,0.00029591444088238815,0.00754684096206423,0.007857176858376677,0.03865276956144174
VEGFA,0.002573291324440302,0.008667060524215824,0.004671264402696499,0.026415356137992115,0.16418144984858798
IL6,0.0004958423736086574,0.0,3.1992099736344124e-05,0.021958711703629778,0.015660279620734203
CSF1R,0.0014565350167303577,0.003133918068937146,0.0022927687137192245,0.004279876153298911,0.3199743005279656
CCR2,0.010334723214516747,0.0021764673026374816,0.003637720429333273,0.01654898847038252,0.10393908476876225
TGFBR1,0.0225627460895705,0.058927777470509694,0.03786584210395295,0.013855919223680319,0.04321998574574085
TGFBR2,0.07883384482379518,0.06553826449054116,0.07369461670168928,0.04774760868900103,0.14588022597479156
IL10RA,0.23392977114195185,0.20846411720994115,0.2021949846275408,0.1716989869701585,0.27958672541951124
IL10RB,0.12385769678505791,0.08955907435544254,0.092341047368255,0.1277738896084222,0.30298024118323763
FLT1,0.001823767904326803,0.0,4.092425983211916e-05,0.002704659334785181,0.009427940933015392
IL6R,0.10336090777522823,0.0023988956981221858,0.002649548295229653,0.025529401545326277,0.1422440220118517
CXCR4,1.1664648979719958,0.24684231688106806,1.19784067823274,0.812448977297345,0.440629833561637
CD274,0.010203345599596613,0.0023191296886405817,0.00768965199924315,0.006056717622424806,0.006381244332091539
PDCD1,0.09194145128506105,0.0009789965560351565,0.04405603071330192,0.0035188481624093848,0.0009176353253375729
CTLA4,0.11245463476090713,0.0001293247100097266,0.022262026860774376,0.0028439169027326674,0.000900438440617766
IDO1,0.00042631661975147463,0.0,0.0003409745798353526,0.0013181407221305242,0.015553511025959794
TIGIT,0.31618982563834513,0.22836867657389703,0.3787031623730593,0.03542435262333796,0.0034111910815493797
LAG3,0.1313578860205363,0.08708860902277402,0.3226048537846342,0.01853693996021242,0.007593974061461096
HAVCR2,0.04154410184961627,0.0981867421217762,0.05056042083545836,0.0043716149529472136,0.1396801226772813
CD14,0.014578147147937523,0.012690307329127253,0.014093023484793918,0.024845260214378332,1.0219447049688086
CD68,0.01054429797769279,0.010110254605114444,0.01087062785991864,0.05606744220775902,0.7629175784354936
CD163,0.0012439344833024206,0.0016589118214189378,0.0012350224120478816,0.0021375735721989,0.25087758704658686
MRC1,0.001840079831211001,0.0,0.0007449607904181057,0.0011838061159174394,0.06855248612181593
ITGAM,0.007147743349006448,0.07720678227317224,0.01496120889444307,0.00812569545700325,0.2272442524586453
ITGAX,0.0031647511637138293,0.0701721887259356,0.006505171926658845,0.015480422251192028,0.20574100388200212
S100A8,0.1513417368551429,0.41533293600976623,0.1953252684736837,0.22127275888772654,1.7189133609454903
S100A9,0.193145242081598,0.39587995009683835,0.21385615637308789,0.24329795526469952,1.8031886094784166
TREM1,0.0022518756888432754,0.0005974523961130716,0.0013677344830042163,0.007839980763109903,0.22335480899173998
TREM2,8.231384898553976e-05,0.0,0.0005921958000455832,0.0011239410046709867,0.03922155176417695
