gene,rho,pval
ENSG00000072958.7,0.5955990026192951,9.932459330069728e-43
ENSG00000110651.10,0.5846084081476443,7.229532717231469e-41
ENSG00000103502.12,0.5801878009812546,3.874827188946125e-40
ENSG00000102226.8,0.5678979926553442,3.614291406464771e-38
ENSG00000105662.14,0.5643389664593453,1.2976515285858245e-37
ENSG00000101161.7,0.5640408585032505,1.443284986658476e-37
ENSG00000037042.8,0.5615717946814338,3.4686223851886437e-37
ENSG00000106397.10,0.5610896120867963,4.112938216256305e-37
ENSG00000104936.16,0.5607137941791079,4.696137723211903e-37
ENSG00000071553.15,0.5594431703364012,7.343491292717665e-37
ENSG00000012211.11,0.5588408982484219,9.070743458698856e-37
ENSG00000068308.12,0.5574499917677601,1.4750164455417807e-36
ENSG00000084774.12,0.5571396469727053,1.6435194895232038e-36
ENSG00000099381.15,0.5568286076290627,1.8315066772038343e-36
ENSG00000108840.14,0.5546745017500717,3.8653251833045235e-36
ENSG00000103249.16,0.5545355483079419,4.055360380228306e-36
ENSG00000076924.10,0.5543065272392401,4.388963103461039e-36
ENSG00000101997.11,0.551316973056658,1.224895125507472e-35
ENSG00000001497.15,0.5486863668670448,2.9965316744801784e-35
ENSG00000105732.11,0.5483808850852377,3.322871488201971e-35
ENSG00000068354.14,0.5483108424858735,3.402520491578611e-35
ENSG00000103148.14,0.5476823508540766,4.207260157540246e-35
ENSG00000051128.17,0.546929958692064,5.421481727546268e-35
ENSG00000100982.10,0.5461373916034693,7.076454808978952e-35
ENSG00000085872.13,0.5448825105387947,1.0773889473466376e-34
ENSG00000106009.14,0.5434196053247546,1.7547832737553514e-34
ENSG00000071889.15,0.542963518002069,2.04201790850677e-34
ENSG00000071051.12,0.5426259560326006,2.284134676750899e-34
ENSG00000108262.14,0.5412915365106212,3.5526334160883342e-34
ENSG00000064545.13,0.5411362807923465,3.7394991273362414e-34
ENSG00000011451.16,0.5403018417996264,4.923460719611294e-34
ENSG00000011243.16,0.5400568536523346,5.336779692196966e-34
ENSG00000115694.13,0.5399546484445628,5.51919717229828e-34
ENSG00000103168.15,0.5384832109572781,8.942720400447887e-34
ENSG00000115568.14,0.538306213493104,9.475714802877231e-34
ENSG00000104907.11,0.5378426516123993,1.1025290292149659e-33
ENSG00000085644.12,0.5376392024415988,1.1782208014361357e-33
