pair,direction,mean_score,max_score,n
TGFB1→TGFBR2,Myeloid→Tumor,0.126,0.138,4
IL10→IL10RA,Myeloid→Tumor,0.0885,0.095,4
SPP1→CD44,Tumor→Myeloid,0.087,0.139,4
TGFB1→TGFBR1,Myeloid→Tumor,0.08675,0.119,4
IL10→IL10RB,Myeloid→Tumor,0.0645,0.07,4
CSF1→CSF1R,Tumor→Myeloid,0.062,0.098,4
SPP1→ITGAM,Tumor→Myeloid,0.044,0.07,4
CCL5→CCR2,Myeloid→Tumor,0.03475,0.053,4
CD274→PDCD1,Myeloid→Tcell,0.0205,0.024,2
CD274→CTLA4,Myeloid→Tcell,0.0195,0.027,2
IL6→IL6R,Myeloid→Tumor,0.018000000000000002,0.04,4
CXCL8→CXCR2,Tumor→Myeloid,0.015,0.022,4
SNAI1→TGFBR1,Tumor→Myeloid,0.0145,0.021,4
VEGFA→FLT1,Myeloid→Tumor,0.013666666666666667,0.021,3
CCL2→CCR2,Tumor→Myeloid,0.012,0.025,4
CXCL8→CXCR1,Tumor→Myeloid,0.006,0.009,4
CXCL10→CXCR3,Tumor→Myeloid,0.005,0.008,3
